VisitID,Age,VisitDurationMin,TimeOfDay,DrinkType,FoodPurchase,LoyaltyMember,TotalSpent
488,21,5.7,Morning,Specialty,None,Yes,7.01
489,54,7.3,Morning,Specialty,Pastry,No,10.53
490,45,26.8,Evening,Smoothie,Dessert,No,14.92
491,34,14.1,Morning,Tea,Sandwich,Yes,14.41
492,52,35.9,Afternoon,Tea,Dessert,No,11.43
493,35,14.1,Morning,Specialty,Sandwich,No,14.73
494,24,19.3,Evening,Coffee,Pastry,Yes,10.86
495,52,28.8,Morning,Coffee,None,Yes,7.31
496,40,32.0,Morning,Tea,Pastry,Yes,11.83
497,22,32.4,Afternoon,Coffee,Pastry,No,8.8
498,32,26.5,Afternoon,Coffee,Pastry,No,8.18
499,23,25.2,Morning,Coffee,Pastry,Yes,12.12
500,18,22.1,Morning,Tea,Pastry,Yes,10.12
501,45,23.4,Morning,Specialty,None,No,10.73
502,57,14.1,Morning,Coffee,Pastry,No,8.01
503,18,12.3,Morning,Specialty,None,Yes,9.52
504,41,18.0,Afternoon,Smoothie,Sandwich,No,12.78
505,26,16.8,Morning,Specialty,None,Yes,9.52
506,28,14.8,Morning,Tea,None,Yes,4.29
507,27,22.9,Afternoon,Smoothie,Pastry,No,10.36
508,24,24.7,Evening,Coffee,Pastry,Yes,9.29
509,35,18.6,Afternoon,Specialty,Pastry,Yes,13.23
510,24,28.3,Morning,Coffee,None,Yes,8.69
511,37,10.0,Morning,Specialty,Pastry,No,9.29
512,33,16.6,Evening,Specialty,None,No,10.51
513,31,13.0,Morning,Coffee,Dessert,Yes,13.9
514,23,4.9,Morning,Coffee,Dessert,Yes,10.7
515,27,17.4,Afternoon,Smoothie,Pastry,Yes,10.74
516,43,17.1,Afternoon,Coffee,None,No,8.91
517,40,28.6,Afternoon,Specialty,Sandwich,Yes,14.57
518,22,22.4,Morning,Coffee,None,No,6.57
519,35,10.8,Morning,Coffee,Pastry,Yes,9.87
520,43,31.0,Evening,Specialty,None,Yes,12.29
521,18,26.5,Morning,Tea,Dessert,Yes,11.89
522,41,22.1,Afternoon,Specialty,None,Yes,8.7
523,26,16.4,Afternoon,Coffee,Pastry,No,7.4
524,41,11.3,Afternoon,Tea,Sandwich,Yes,11.5
525,25,15.4,Morning,Tea,Pastry,Yes,8.17
526,18,25.6,Morning,Tea,None,Yes,7.2
527,18,31.2,Afternoon,Smoothie,Dessert,Yes,13.02
528,35,28.8,Evening,Tea,Pastry,Yes,8.61
529,37,14.6,Evening,Coffee,Pastry,Yes,11.69
530,23,10.2,Morning,Coffee,None,Yes,6.09
531,42,19.0,Morning,Smoothie,Pastry,No,9.65
532,18,5.6,Evening,Coffee,Pastry,Yes,9.73
533,33,20.3,Afternoon,Smoothie,None,Yes,8.55
534,19,17.0,Evening,Coffee,None,No,4.29
535,26,14.7,Morning,Tea,Sandwich,Yes,13.05
536,35,6.8,Afternoon,Smoothie,None,Yes,6.35
537,24,21.6,Afternoon,Coffee,None,Yes,9.03
538,29,14.3,Afternoon,Coffee,Pastry,Yes,10.01
539,46,9.8,Morning,Coffee,Sandwich,No,11.44
540,27,3.0,Morning,Tea,None,Yes,4.5
541,44,17.8,Afternoon,Specialty,Pastry,No,11.29
542,20,30.4,Morning,Coffee,None,Yes,8.69
543,40,29.6,Afternoon,Smoothie,None,Yes,8.99
544,51,14.8,Evening,Coffee,None,No,5.72
545,18,13.8,Morning,Coffee,Sandwich,Yes,13.5
546,24,21.3,Evening,Specialty,None,No,8.72
547,41,11.0,Morning,Coffee,None,Yes,5.98
548,32,20.1,Afternoon,Coffee,Pastry,No,6.2
549,38,23.4,Evening,Coffee,Sandwich,Yes,15.12
550,27,26.6,Morning,Coffee,None,No,6.82
551,35,17.3,Morning,Coffee,Pastry,Yes,9.07
552,32,16.6,Morning,Coffee,None,No,8.22
553,48,11.9,Morning,Tea,Pastry,Yes,9.32
554,37,12.2,Afternoon,Coffee,Pastry,No,7.04
555,38,16.4,Evening,Tea,Pastry,Yes,10.8
556,29,20.6,Morning,Coffee,None,No,6.58
557,28,24.4,Morning,Coffee,None,Yes,7.71
558,29,12.4,Morning,Tea,None,Yes,5.46
559,39,28.4,Afternoon,Specialty,None,Yes,10.27
560,29,16.1,Morning,Coffee,None,Yes,6.39
561,37,17.9,Afternoon,Specialty,Sandwich,Yes,16.27
562,59,12.8,Afternoon,Tea,Dessert,No,6.39
563,44,3.0,Afternoon,Tea,Dessert,No,7.74
564,30,24.2,Morning,Tea,Sandwich,Yes,15.35
565,48,23.2,Afternoon,Coffee,Pastry,No,8.03
566,29,16.0,Morning,Coffee,Sandwich,Yes,12.46
567,18,18.5,Morning,Tea,None,Yes,6.15
568,22,21.6,Evening,Coffee,Pastry,No,8.48
569,18,7.1,Afternoon,Specialty,Pastry,No,8.37
570,30,14.3,Morning,Coffee,Pastry,No,8.67
571,34,23.6,Morning,Coffee,Sandwich,Yes,13.84
572,54,9.2,Morning,Smoothie,None,No,7.34
573,38,20.1,Morning,Coffee,None,Yes,6.77
574,31,8.5,Morning,Tea,Dessert,Yes,10.06
575,44,21.3,Morning,Smoothie,None,Yes,10.31
576,18,17.8,Afternoon,Specialty,Pastry,No,11.53
577,37,6.7,Afternoon,Smoothie,Dessert,No,10.28
578,43,26.2,Afternoon,Tea,Pastry,No,8.32
579,18,12.9,Afternoon,Tea,Pastry,Yes,9.85
580,48,12.3,Morning,Specialty,None,Yes,11.0
581,38,19.4,Evening,Coffee,None,Yes,6.38
582,29,26.0,Evening,Coffee,Sandwich,Yes,14.18
583,42,10.9,Evening,Coffee,Pastry,Yes,10.33
584,61,18.4,Evening,Coffee,Pastry,No,8.11
585,36,21.0,Evening,Tea,None,Yes,6.79
586,37,22.9,Afternoon,Tea,None,Yes,4.29
587,28,19.2,Morning,Tea,Dessert,Yes,8.44
588,24,15.4,Afternoon,Coffee,None,Yes,6.98
589,44,12.2,Afternoon,Smoothie,Pastry,Yes,10.75
590,24,18.6,Afternoon,Coffee,None,No,6.07
591,35,10.5,Afternoon,Tea,Pastry,No,7.71
592,28,3.0,Morning,Tea,Dessert,No,7.56
593,40,21.1,Morning,Coffee,Pastry,Yes,10.21
594,38,24.3,Evening,Coffee,None,Yes,5.92
595,46,3.0,Afternoon,Coffee,Pastry,Yes,10.42
596,28,10.9,Afternoon,Specialty,Sandwich,No,12.56
597,31,22.3,Morning,Specialty,None,No,8.69
598,22,32.4,Morning,Tea,Sandwich,Yes,12.74
599,29,18.1,Evening,Coffee,Pastry,Yes,11.05
600,39,12.9,Afternoon,Coffee,Dessert,Yes,9.86
601,43,16.7,Afternoon,Smoothie,Pastry,No,9.95
602,23,27.6,Afternoon,Smoothie,None,No,9.42
603,44,13.5,Afternoon,Coffee,None,No,5.2
604,50,12.4,Morning,Coffee,None,Yes,7.14
605,39,14.6,Afternoon,Smoothie,Dessert,Yes,11.15
606,57,11.3,Morning,Coffee,Sandwich,Yes,11.07
607,25,18.9,Morning,Coffee,Pastry,Yes,10.27
608,19,29.4,Afternoon,Coffee,None,Yes,6.97
609,18,20.3,Evening,Tea,None,No,6.95
610,52,16.2,Morning,Specialty,Sandwich,No,14.97
611,42,16.0,Evening,Specialty,Pastry,Yes,13.22
612,33,7.1,Morning,Tea,None,No,2.75
613,37,24.2,Morning,Tea,Pastry,Yes,12.31
614,20,17.5,Morning,Coffee,None,Yes,6.94
615,63,16.7,Morning,Tea,None,Yes,7.02
616,36,40.4,Afternoon,Coffee,Pastry,Yes,9.88
617,35,20.1,Morning,Tea,None,Yes,6.84
618,43,12.7,Afternoon,Coffee,Dessert,Yes,8.63
619,40,15.0,Evening,Coffee,None,Yes,7.47
620,37,26.0,Morning,Coffee,None,No,5.97
621,25,18.8,Afternoon,Coffee,None,Yes,6.41
622,40,7.9,Morning,Coffee,Sandwich,Yes,13.6
623,57,24.4,Afternoon,Coffee,Pastry,Yes,8.32
624,50,13.3,Morning,Specialty,Pastry,No,10.79
625,53,31.1,Morning,Coffee,None,Yes,8.19
626,28,25.6,Morning,Tea,None,No,8.51
627,22,14.9,Morning,Specialty,Pastry,Yes,12.82
628,32,27.0,Morning,Specialty,Sandwich,Yes,17.36
629,35,18.5,Afternoon,Tea,Dessert,No,9.08
630,47,24.0,Evening,Specialty,None,Yes,12.62
631,18,21.4,Evening,Coffee,Pastry,Yes,8.7
632,52,12.1,Afternoon,Coffee,Dessert,Yes,10.34
633,32,13.5,Morning,Coffee,None,No,3.63
634,29,25.2,Morning,Tea,Sandwich,Yes,10.13
635,22,15.7,Morning,Smoothie,None,Yes,9.41
636,18,15.2,Morning,Coffee,Dessert,No,10.54
637,44,11.3,Afternoon,Coffee,Sandwich,Yes,12.07
638,35,21.0,Afternoon,Tea,Dessert,No,9.23
639,19,32.4,Morning,Coffee,Pastry,No,14.27
640,18,10.5,Morning,Tea,None,Yes,5.91
641,30,18.2,Evening,Smoothie,Dessert,Yes,13.98
642,54,27.9,Afternoon,Smoothie,None,Yes,8.11
643,31,17.4,Morning,Smoothie,None,No,8.26
644,18,21.2,Evening,Specialty,Sandwich,No,15.67
645,31,10.6,Evening,Coffee,Sandwich,No,11.72
646,31,21.0,Morning,Smoothie,Dessert,No,14.63
647,18,16.7,Morning,Tea,None,No,7.17
648,33,24.9,Afternoon,Coffee,Sandwich,Yes,13.41
649,31,26.3,Evening,Coffee,Sandwich,Yes,11.2
650,42,36.1,Evening,Coffee,None,No,6.81
651,56,22.1,Morning,Coffee,None,Yes,10.35
652,48,20.3,Morning,Tea,None,Yes,6.18
653,31,19.4,Afternoon,Specialty,None,No,9.64
654,21,15.5,Afternoon,Coffee,Dessert,Yes,12.58
655,65,20.4,Morning,Coffee,Pastry,No,9.5
656,35,15.9,Evening,Specialty,Sandwich,No,14.25
657,34,19.2,Afternoon,Coffee,Dessert,Yes,7.61
658,34,27.2,Evening,Coffee,None,No,7.59
659,36,11.0,Evening,Tea,Sandwich,Yes,11.64
660,32,26.0,Afternoon,Tea,Pastry,Yes,9.78
661,27,27.2,Morning,Coffee,Sandwich,Yes,12.32
662,27,17.2,Afternoon,Coffee,None,Yes,5.95
663,34,3.1,Morning,Coffee,Dessert,Yes,10.23
664,27,13.7,Afternoon,Tea,None,Yes,5.91
665,25,27.1,Morning,Tea,None,Yes,5.48
666,35,17.8,Afternoon,Coffee,Sandwich,Yes,14.31
667,31,11.0,Morning,Tea,None,No,4.26
668,52,14.5,Morning,Specialty,Pastry,No,9.63
669,18,23.9,Morning,Coffee,Pastry,Yes,10.65
670,47,21.8,Morning,Coffee,Sandwich,Yes,13.6
671,49,16.3,Afternoon,Smoothie,None,Yes,8.43
672,18,15.4,Afternoon,Coffee,None,Yes,8.23
673,30,15.3,Afternoon,Coffee,None,No,4.97
674,30,11.5,Morning,Tea,Pastry,No,8.14
675,18,29.3,Morning,Specialty,None,Yes,9.23
676,25,15.7,Morning,Specialty,None,Yes,10.47
677,21,26.5,Morning,Tea,None,Yes,7.42
678,55,28.6,Evening,Smoothie,None,No,8.29
679,45,25.0,Morning,Coffee,Pastry,Yes,8.12
680,49,15.0,Morning,Tea,Dessert,No,11.31
681,43,20.8,Morning,Coffee,None,No,4.56
682,20,17.8,Morning,Coffee,Pastry,Yes,9.68
683,28,11.7,Afternoon,Smoothie,Pastry,No,10.75
684,40,20.3,Afternoon,Tea,None,No,3.57
685,19,9.7,Morning,Coffee,Sandwich,No,10.42
686,43,26.3,Morning,Specialty,None,Yes,7.42
687,31,14.7,Morning,Coffee,Pastry,Yes,10.78
688,30,19.4,Morning,Coffee,None,No,5.33
689,43,20.0,Morning,Coffee,Pastry,No,12.96
690,39,16.2,Evening,Smoothie,Pastry,No,10.08
691,30,22.1,Afternoon,Smoothie,None,No,6.52
692,48,14.7,Afternoon,Coffee,None,No,4.53
693,21,24.1,Morning,Tea,Dessert,No,10.7
694,41,8.6,Morning,Coffee,Pastry,Yes,8.93
695,41,18.9,Afternoon,Smoothie,Pastry,Yes,12.4
696,30,31.6,Afternoon,Coffee,Dessert,No,9.27
697,38,11.0,Afternoon,Coffee,Sandwich,No,9.78
698,19,13.3,Morning,Specialty,Pastry,No,9.75
699,45,21.6,Afternoon,Coffee,Sandwich,Yes,10.27
700,32,19.3,Morning,Coffee,Sandwich,No,11.86
701,28,20.5,Evening,Tea,Pastry,No,8.7
702,47,21.4,Afternoon,Specialty,Pastry,Yes,11.74
703,26,22.4,Afternoon,Coffee,None,Yes,8.15
704,18,25.8,Morning,Coffee,Dessert,Yes,13.43
705,18,20.9,Afternoon,Coffee,Pastry,Yes,9.69
706,41,16.3,Morning,Tea,None,Yes,3.99
707,19,22.7,Morning,Coffee,Sandwich,Yes,13.25
708,55,31.3,Morning,Tea,Pastry,Yes,9.63
709,18,17.1,Afternoon,Specialty,None,No,7.65
710,54,11.2,Morning,Coffee,Pastry,No,7.9
711,37,25.7,Morning,Coffee,None,No,5.58
712,33,17.2,Evening,Coffee,Sandwich,Yes,13.05
713,27,3.0,Morning,Coffee,None,Yes,5.14
714,39,23.9,Afternoon,Specialty,Sandwich,No,15.29
715,34,14.3,Morning,Coffee,Pastry,Yes,10.31
716,47,17.4,Morning,Coffee,None,No,4.76
717,35,20.3,Afternoon,Tea,Dessert,No,10.91
718,36,19.3,Morning,Coffee,Pastry,Yes,8.93
719,30,23.0,Afternoon,Tea,None,No,3.21
720,33,15.0,Afternoon,Coffee,Pastry,Yes,9.88
721,38,21.6,Afternoon,Specialty,Sandwich,Yes,14.77
722,18,16.2,Afternoon,Specialty,None,No,8.82
723,18,23.2,Morning,Tea,None,Yes,3.99
724,43,22.3,Morning,Specialty,None,No,10.68
725,36,11.5,Afternoon,Coffee,None,Yes,6.78
726,32,25.6,Afternoon,Coffee,Sandwich,Yes,11.41
727,34,14.2,Evening,Tea,Pastry,No,6.85
728,38,23.7,Evening,Tea,None,No,8.11
729,28,20.6,Evening,Coffee,None,Yes,6.31
730,25,30.9,Afternoon,Coffee,None,Yes,6.06
731,36,16.4,Morning,Coffee,Dessert,No,7.25
732,22,15.6,Afternoon,Coffee,None,Yes,6.1
733,39,17.9,Afternoon,Coffee,Dessert,No,9.39
734,18,15.9,Morning,Smoothie,Pastry,No,12.3
735,46,23.6,Evening,Coffee,None,No,4.77
736,40,6.7,Evening,Coffee,Dessert,No,7.85
737,37,10.6,Afternoon,Tea,Pastry,Yes,9.2
738,46,10.5,Morning,Tea,Sandwich,No,12.74
739,54,24.7,Morning,Specialty,Dessert,No,11.37
740,46,30.0,Evening,Tea,None,Yes,8.65
741,18,17.3,Evening,Coffee,None,No,6.53
742,19,16.8,Morning,Specialty,Sandwich,Yes,17.72
743,27,18.5,Morning,Tea,None,Yes,6.27
744,34,26.1,Evening,Coffee,None,Yes,4.41
745,40,11.5,Morning,Tea,None,No,4.85
746,25,19.7,Afternoon,Specialty,None,Yes,10.51
747,36,24.8,Evening,Coffee,Sandwich,No,11.97
748,25,21.5,Morning,Coffee,None,No,5.66
749,27,19.3,Afternoon,Coffee,Pastry,Yes,9.44
750,18,25.0,Morning,Coffee,Pastry,Yes,7.23
751,23,3.0,Morning,Coffee,Pastry,No,10.72
752,18,22.7,Evening,Tea,None,Yes,6.09
753,22,13.4,Morning,Coffee,Sandwich,No,13.14
754,47,5.2,Evening,Specialty,None,Yes,8.95
755,23,21.6,Afternoon,Smoothie,Sandwich,Yes,16.97
756,66,27.6,Morning,Tea,Dessert,No,10.66
757,40,17.0,Morning,Specialty,Pastry,Yes,12.48
758,36,24.7,Morning,Coffee,Pastry,Yes,9.37
759,24,29.3,Morning,Coffee,Pastry,Yes,12.11
760,42,27.2,Morning,Tea,None,Yes,4.54
761,27,29.5,Morning,Specialty,Dessert,Yes,15.33
762,35,23.2,Afternoon,Smoothie,Dessert,No,10.62
763,65,18.5,Afternoon,Coffee,None,Yes,7.83
764,33,6.8,Afternoon,Specialty,Pastry,Yes,11.86
765,48,16.3,Afternoon,Coffee,Dessert,No,10.38
766,26,12.1,Morning,Specialty,Dessert,Yes,13.58
767,34,33.2,Morning,Specialty,Pastry,Yes,11.55
768,55,16.8,Afternoon,Coffee,Pastry,No,7.53
769,26,18.9,Afternoon,Smoothie,None,No,8.32
770,56,21.9,Morning,Coffee,Dessert,No,10.52
771,42,18.3,Evening,Coffee,None,No,7.67
772,27,29.9,Afternoon,Tea,Pastry,Yes,10.3
773,42,13.6,Afternoon,Tea,None,No,3.46
774,46,19.4,Morning,Specialty,None,Yes,8.67
775,41,12.8,Afternoon,Tea,None,Yes,5.65
776,18,8.8,Afternoon,Coffee,Dessert,Yes,7.49
777,25,13.7,Afternoon,Specialty,None,Yes,10.91
778,31,17.7,Afternoon,Specialty,Pastry,Yes,12.86
779,33,15.0,Evening,Coffee,None,No,7.53
780,41,13.2,Afternoon,Specialty,None,Yes,6.82
781,36,8.2,Morning,Coffee,Pastry,Yes,11.05
782,18,17.4,Afternoon,Specialty,Pastry,Yes,15.43
783,39,7.5,Afternoon,Coffee,None,Yes,4.05
784,41,23.3,Afternoon,Coffee,None,No,6.71
785,41,18.6,Morning,Coffee,None,Yes,6.87
786,47,7.8,Morning,Tea,None,Yes,3.79
787,44,15.8,Evening,Coffee,Dessert,Yes,11.81
788,40,12.7,Afternoon,Coffee,Dessert,No,10.4
789,33,20.2,Evening,Tea,None,Yes,5.96
790,18,27.4,Afternoon,Specialty,Pastry,Yes,14.7
791,39,4.9,Afternoon,Coffee,Dessert,Yes,7.71
792,36,18.8,Afternoon,Coffee,None,Yes,4.51
793,37,16.9,Evening,Coffee,Sandwich,Yes,13.68
794,19,22.7,Afternoon,Coffee,Dessert,No,10.34
795,21,19.5,Afternoon,Specialty,None,No,7.72
796,47,12.7,Morning,Specialty,None,No,9.37
797,34,15.8,Afternoon,Tea,Dessert,Yes,10.61
798,42,12.4,Afternoon,Coffee,Pastry,Yes,10.32
799,34,25.5,Morning,Smoothie,None,Yes,9.13
800,34,18.1,Morning,Tea,None,No,6.19
801,45,31.3,Morning,Specialty,Pastry,No,12.17
802,28,17.6,Morning,Tea,Pastry,No,11.22
803,35,13.0,Morning,Smoothie,Sandwich,Yes,14.01
804,28,7.4,Morning,Tea,Dessert,Yes,12.58
805,29,5.4,Evening,Coffee,None,Yes,6.37
806,30,6.9,Afternoon,Specialty,Pastry,No,9.04
807,37,19.9,Morning,Tea,Pastry,No,10.5
808,28,21.6,Morning,Tea,None,No,5.8
809,49,6.9,Afternoon,Coffee,None,Yes,6.73
810,23,24.3,Morning,Tea,Dessert,Yes,12.84
811,32,14.6,Evening,Tea,Sandwich,No,12.4
812,29,19.0,Afternoon,Coffee,Pastry,No,8.0
813,51,29.3,Afternoon,Coffee,Pastry,Yes,11.48
814,36,24.3,Morning,Tea,None,Yes,6.71
815,46,16.1,Afternoon,Smoothie,Pastry,Yes,12.32
816,18,11.8,Morning,Tea,Pastry,Yes,6.87
817,37,3.0,Evening,Coffee,Pastry,Yes,9.99
818,45,13.0,Afternoon,Tea,Dessert,No,8.08
819,35,16.5,Morning,Coffee,Pastry,Yes,12.06
820,47,11.1,Morning,Coffee,None,Yes,7.19
821,28,17.1,Morning,Coffee,Sandwich,Yes,13.58
822,51,18.5,Afternoon,Coffee,None,No,6.07
823,62,16.4,Morning,Coffee,None,No,4.49
824,30,13.4,Afternoon,Coffee,None,Yes,8.08
825,29,19.2,Morning,Coffee,Pastry,No,11.74
826,51,21.1,Afternoon,Coffee,Sandwich,No,12.61
827,53,10.4,Evening,Tea,Pastry,Yes,11.36
828,28,27.9,Afternoon,Coffee,Sandwich,Yes,12.71
829,29,17.3,Afternoon,Coffee,Pastry,No,7.64
830,31,18.1,Morning,Specialty,None,No,8.74
831,18,23.0,Morning,Coffee,Sandwich,No,13.62
832,23,19.6,Afternoon,Tea,None,No,4.88
833,22,24.7,Morning,Coffee,None,No,7.35
834,25,20.0,Morning,Coffee,Pastry,Yes,10.58
835,34,13.7,Morning,Tea,None,Yes,4.82
836,37,20.5,Morning,Tea,None,Yes,7.13
837,53,10.0,Morning,Specialty,Pastry,Yes,13.43
838,22,18.8,Evening,Tea,Pastry,No,9.54
839,46,17.8,Morning,Specialty,Pastry,No,13.36
840,31,16.5,Afternoon,Coffee,Dessert,No,8.07
841,33,17.1,Morning,Coffee,Pastry,Yes,10.61
842,42,4.8,Afternoon,Coffee,Sandwich,No,9.68
843,21,14.2,Morning,Coffee,None,Yes,5.56
844,39,18.6,Evening,Tea,Pastry,Yes,9.08
845,36,19.1,Evening,Tea,Sandwich,No,11.07
846,40,10.8,Morning,Coffee,Pastry,No,8.06
847,37,26.9,Evening,Specialty,Sandwich,No,15.7
848,63,11.9,Evening,Specialty,None,Yes,10.41
849,26,24.8,Evening,Coffee,None,Yes,7.09
850,28,21.0,Evening,Coffee,Pastry,Yes,8.53
851,27,13.5,Morning,Coffee,None,Yes,7.99
852,27,30.4,Afternoon,Coffee,Sandwich,No,11.63
853,26,9.6,Morning,Coffee,None,No,5.35
854,48,24.4,Morning,Tea,Dessert,No,10.62
855,51,25.0,Evening,Coffee,Dessert,Yes,12.0
856,27,13.3,Morning,Coffee,None,No,7.02
857,24,27.7,Afternoon,Specialty,None,Yes,10.61
858,40,16.2,Evening,Smoothie,Dessert,No,11.25
859,27,20.0,Evening,Specialty,Dessert,Yes,16.92
860,42,19.8,Evening,Coffee,Pastry,Yes,10.68
861,36,17.1,Morning,Coffee,None,Yes,6.59
862,18,23.7,Morning,Tea,Pastry,No,10.58
863,53,23.6,Morning,Coffee,Pastry,Yes,10.73
864,56,5.8,Morning,Coffee,None,Yes,6.5
865,27,27.1,Morning,Tea,Sandwich,No,15.59
866,29,6.4,Morning,Tea,None,Yes,5.29
867,37,25.2,Afternoon,Coffee,None,Yes,6.36
868,38,25.9,Afternoon,Coffee,None,Yes,6.95
869,42,10.4,Morning,Coffee,None,Yes,7.71
870,58,15.1,Afternoon,Coffee,None,No,3.27
871,32,10.3,Morning,Coffee,Pastry,No,6.26
872,24,16.5,Morning,Coffee,None,Yes,6.36
873,18,15.8,Afternoon,Coffee,None,No,3.61
874,25,23.5,Afternoon,Specialty,None,Yes,8.88
875,34,27.2,Afternoon,Tea,Dessert,Yes,11.26
876,56,27.8,Morning,Smoothie,None,Yes,8.2
877,28,14.1,Evening,Coffee,Pastry,Yes,8.31
878,37,16.5,Afternoon,Coffee,Pastry,Yes,9.58
879,34,6.2,Afternoon,Coffee,Dessert,No,10.05
880,48,12.4,Afternoon,Coffee,None,No,2.98
881,64,24.8,Evening,Coffee,Pastry,Yes,11.66
882,28,29.3,Afternoon,Smoothie,Sandwich,No,15.63
883,28,9.4,Afternoon,Tea,Pastry,No,8.86
884,47,13.9,Evening,Tea,None,No,6.96
885,42,17.8,Afternoon,Coffee,Pastry,No,11.42
886,56,20.0,Morning,Specialty,None,Yes,9.15
887,41,12.3,Afternoon,Coffee,Pastry,No,8.47
888,30,21.0,Morning,Coffee,Sandwich,No,12.09
889,41,14.7,Morning,Coffee,None,No,5.73
890,47,17.9,Afternoon,Smoothie,Sandwich,Yes,16.74
891,44,21.8,Evening,Specialty,None,Yes,8.38
892,40,18.0,Evening,Coffee,Sandwich,Yes,12.5
893,47,14.9,Morning,Specialty,Pastry,Yes,14.37
894,48,17.2,Afternoon,Specialty,None,Yes,10.31
895,51,17.4,Morning,Coffee,None,No,5.44
896,42,15.4,Evening,Coffee,Dessert,Yes,12.24
897,32,16.2,Evening,Coffee,None,No,6.5
898,36,29.2,Afternoon,Specialty,None,Yes,11.63
899,48,21.9,Evening,Coffee,None,No,6.51
900,24,15.9,Afternoon,Smoothie,Pastry,Yes,13.09
901,38,22.9,Afternoon,Coffee,Pastry,Yes,13.18
902,29,15.7,Morning,Smoothie,None,No,8.54
903,34,26.2,Afternoon,Coffee,None,No,5.98
904,49,20.6,Afternoon,Tea,None,No,5.99
905,36,17.2,Afternoon,Specialty,None,Yes,8.58
906,35,21.1,Morning,Specialty,None,Yes,12.75
907,18,7.0,Evening,Specialty,Sandwich,No,15.35
908,43,10.1,Morning,Coffee,None,Yes,6.01
909,42,9.6,Afternoon,Smoothie,None,No,5.88
910,60,19.0,Afternoon,Coffee,None,Yes,7.66
911,30,30.1,Afternoon,Coffee,Dessert,Yes,12.39
912,37,33.6,Afternoon,Tea,Dessert,Yes,10.39
913,37,22.5,Morning,Coffee,Sandwich,Yes,14.32
914,53,21.5,Morning,Tea,None,No,3.75
915,33,5.4,Afternoon,Specialty,None,No,7.66
916,37,14.2,Afternoon,Coffee,None,Yes,6.67
917,41,12.5,Morning,Tea,None,No,7.23
918,36,13.7,Afternoon,Coffee,Pastry,Yes,8.36
919,29,16.8,Afternoon,Coffee,Sandwich,Yes,11.16
920,36,14.7,Afternoon,Coffee,Sandwich,Yes,11.51
921,47,4.1,Evening,Specialty,Sandwich,No,12.93
922,22,23.2,Morning,Specialty,None,No,11.01
923,36,10.5,Morning,Specialty,Pastry,No,13.42
924,26,19.7,Afternoon,Specialty,None,No,8.68
925,48,32.5,Afternoon,Coffee,None,No,7.83
926,18,11.6,Afternoon,Coffee,Sandwich,No,12.06
927,27,3.0,Evening,Tea,None,No,4.66
928,39,16.0,Evening,Coffee,None,No,5.64
929,53,25.7,Evening,Coffee,None,Yes,7.15
930,33,31.7,Afternoon,Coffee,Pastry,Yes,8.47
931,27,9.4,Afternoon,Tea,Sandwich,Yes,12.14
932,57,21.5,Morning,Tea,None,Yes,6.39
933,18,14.7,Morning,Coffee,Sandwich,No,13.51
934,18,17.3,Afternoon,Coffee,None,Yes,6.75
935,39,36.5,Morning,Tea,Pastry,No,9.59
936,28,7.5,Evening,Tea,Sandwich,Yes,11.36
937,22,19.8,Afternoon,Coffee,Pastry,Yes,10.13
938,43,21.3,Afternoon,Smoothie,Dessert,Yes,13.7
939,37,25.6,Morning,Coffee,None,No,4.96
940,27,18.7,Morning,Coffee,Pastry,Yes,10.23
941,19,20.2,Morning,Smoothie,Pastry,Yes,12.85
942,44,15.3,Morning,Tea,Dessert,No,8.62
943,42,19.9,Morning,Coffee,None,No,5.31
944,33,15.6,Afternoon,Smoothie,Sandwich,Yes,14.97
945,56,22.4,Evening,Tea,Pastry,Yes,8.58
946,21,15.4,Evening,Smoothie,None,Yes,9.71
947,18,20.6,Afternoon,Smoothie,Pastry,No,10.07
948,26,17.8,Morning,Tea,None,Yes,7.65
949,33,25.9,Evening,Coffee,Pastry,Yes,13.73
950,37,17.6,Evening,Coffee,Dessert,Yes,10.23
951,31,5.6,Morning,Coffee,Pastry,Yes,10.0
952,38,26.8,Afternoon,Coffee,Pastry,No,8.3
953,19,11.7,Morning,Tea,Pastry,Yes,10.85
954,51,13.4,Evening,Tea,None,Yes,4.72
955,33,13.8,Evening,Coffee,None,Yes,7.43
956,47,27.6,Morning,Coffee,Pastry,Yes,9.56
957,38,3.1,Evening,Coffee,None,Yes,5.93
958,39,40.0,Afternoon,Coffee,None,No,5.46
959,41,25.4,Evening,Smoothie,Pastry,No,12.9
960,39,19.6,Afternoon,Coffee,None,No,4.48
961,42,17.6,Evening,Tea,None,No,6.35
962,50,20.0,Morning,Specialty,Pastry,No,11.62
963,36,21.6,Morning,Coffee,None,Yes,6.9
964,43,22.5,Morning,Coffee,Dessert,No,10.63
965,33,21.9,Evening,Coffee,Sandwich,No,11.96
966,51,18.6,Evening,Tea,Sandwich,No,12.48
967,26,16.6,Evening,Tea,None,Yes,8.41
968,56,16.9,Evening,Coffee,Sandwich,Yes,12.44
969,34,16.6,Morning,Tea,Sandwich,No,13.31
970,18,25.9,Morning,Specialty,Sandwich,No,17.88
971,36,22.2,Morning,Coffee,None,No,5.16
972,26,3.0,Morning,Coffee,Pastry,Yes,7.36
973,44,22.6,Morning,Specialty,Sandwich,Yes,16.73
974,26,19.4,Afternoon,Tea,Pastry,Yes,8.48
