AdvertisingSpend,Price,StoreTraffic,CompetitorDistance,Region,StoreType,PromotionType,Season,Sales
18.33,13.93,1359,12.95,North,Flagship,Discount,Fall,694.99
16.44,7.65,1407,10.52,West,Flagship,None,Spring,569.38
12.77,13.27,1758,8.78,East,Flagship,Discount,Fall,436.49
7.99,18.18,1838,10.76,West,Neighborhood,Discount,Fall,572.12
18.88,13.81,1173,11.98,South,Neighborhood,Bundle,Summer,482.61
23.26,14.01,1332,12.29,West,Neighborhood,Bundle,Spring,423.69
21.23,18.95,1055,1.96,South,Outlet,Discount,Summer,555.6
18.67,12.15,892,11.2,North,Outlet,None,Spring,499.48
14.43,8.83,1539,4.61,West,Neighborhood,Loyalty,Summer,507.39
26.87,14.36,827,12.57,North,Outlet,Discount,Fall,475.55
11.46,13.06,1213,7.87,South,Flagship,Bundle,Spring,330.6
28.21,11.14,952,1.93,West,Flagship,None,Winter,417.7
13.98,14.3,1647,13.7,West,Neighborhood,Discount,Fall,601.17
15.98,16.97,2211,3.02,East,Flagship,None,Winter,362.19
10.27,14.96,814,4.44,East,Neighborhood,Discount,Fall,275.9
17.99,16.23,566,15.79,South,Outlet,Loyalty,Summer,450.76
29.8,22.25,1344,6.21,South,Flagship,Discount,Spring,435.14
26.13,13.63,1407,4.29,South,Flagship,None,Fall,470.54
29.83,16.11,1498,5.3,East,Neighborhood,None,Summer,391.76
26.18,12.96,1199,4.22,West,Outlet,Discount,Spring,556.39
13.17,11.61,1310,9.6,West,Neighborhood,None,Spring,307.31
19.35,12.66,1565,4.32,West,Neighborhood,None,Fall,372.29
15.76,13.08,1868,5.43,North,Flagship,Bundle,Spring,481.39
32.64,16.44,520,8.32,South,Flagship,Discount,Fall,583.34
12.43,24.4,1234,7.71,North,Outlet,None,Spring,153.2
29.15,12.14,1496,3.23,East,Outlet,Loyalty,Winter,365.02
29.14,13.33,987,9.68,South,Flagship,None,Summer,597.19
36.64,14.75,2179,3.74,West,Outlet,Loyalty,Winter,611.77
18.72,16.58,1114,2.37,South,Neighborhood,Discount,Fall,141.08
27.7,16.05,1381,1.05,North,Outlet,Loyalty,Winter,331.36
40.25,20.14,1650,4.9,North,Neighborhood,Bundle,Fall,402.1
17.06,5.29,1134,1.3,West,Neighborhood,Loyalty,Spring,394.09
9.72,5.45,569,2.87,East,Neighborhood,Loyalty,Spring,50.0
6.96,13.02,1207,5.53,North,Neighborhood,None,Fall,210.9
27.7,19.39,1863,11.81,North,Flagship,Loyalty,Winter,366.79
6.93,8.74,1248,4.53,East,Flagship,Discount,Spring,407.87
19.02,5.0,1019,1.59,North,Neighborhood,Discount,Summer,474.59
25.5,17.28,1817,5.17,West,Neighborhood,Discount,Spring,550.99
23.48,15.97,1251,11.51,East,Flagship,Discount,Summer,538.16
25.4,10.64,1170,4.45,North,Neighborhood,None,Winter,476.93
23.78,11.06,1467,13.13,North,Outlet,Discount,Summer,788.03
32.23,11.12,1747,5.51,West,Flagship,Discount,Summer,851.47
14.38,15.44,2472,9.03,South,Neighborhood,Bundle,Summer,523.31
16.58,12.49,1772,6.54,South,Neighborhood,Loyalty,Summer,648.1
15.82,16.98,1922,12.72,West,Outlet,Discount,Spring,358.4
28.64,5.0,1172,19.78,West,Flagship,Discount,Summer,748.44
29.2,11.57,938,3.89,West,Neighborhood,None,Spring,342.52
25.61,10.5,1428,6.28,West,Outlet,None,Summer,679.46
31.47,13.97,1448,11.8,South,Outlet,None,Fall,374.28
12.58,12.85,915,6.71,North,Neighborhood,Discount,Winter,298.67
35.34,18.19,1321,1.0,West,Neighborhood,None,Summer,252.27
34.19,7.56,1580,4.5,East,Neighborhood,Loyalty,Fall,704.16
27.88,15.18,1562,6.67,South,Outlet,Discount,Summer,671.08
36.25,17.23,1627,15.01,West,Neighborhood,Discount,Summer,778.11
8.75,22.43,1531,6.04,North,Flagship,Discount,Summer,309.93
17.8,13.07,1172,2.71,South,Outlet,None,Fall,192.92
16.12,16.3,1169,6.78,North,Neighborhood,Discount,Winter,229.94
27.77,7.78,860,14.04,South,Neighborhood,Bundle,Fall,561.95
13.6,5.43,2203,3.42,North,Flagship,Discount,Winter,548.8
28.06,18.38,1406,3.78,North,Neighborhood,Discount,Summer,462.4
32.96,14.98,1299,3.46,North,Neighborhood,Loyalty,Spring,424.13
27.56,19.71,982,1.8,East,Neighborhood,Loyalty,Summer,337.59
24.27,9.51,2721,5.84,East,Flagship,Bundle,Winter,635.16
14.1,17.08,917,5.36,East,Neighborhood,Discount,Fall,355.91
15.23,22.48,1207,1.12,West,Outlet,Bundle,Summer,372.95
32.0,16.68,1587,2.89,South,Flagship,None,Fall,345.11
28.23,16.11,1670,6.41,South,Outlet,Discount,Fall,560.75
21.69,15.03,1831,8.88,West,Neighborhood,None,Fall,326.95
18.66,8.72,2213,10.54,North,Outlet,Discount,Summer,744.49
5.79,20.42,1628,9.37,West,Outlet,Discount,Fall,321.06
13.43,12.56,925,5.59,North,Neighborhood,None,Fall,126.21
37.29,17.02,1284,1.53,West,Neighborhood,Loyalty,Summer,590.44
11.76,8.75,1539,4.73,North,Outlet,Loyalty,Fall,346.5
23.52,10.28,2331,0.5,West,Neighborhood,Bundle,Summer,712.15
30.06,20.74,771,6.43,East,Neighborhood,Discount,Winter,488.96
11.96,13.61,1941,3.32,West,Neighborhood,Loyalty,Winter,413.49
23.48,20.81,1481,0.7,North,Outlet,None,Winter,258.73
29.5,14.69,1777,7.27,East,Outlet,Bundle,Fall,541.24
22.1,7.63,1354,13.93,West,Outlet,None,Spring,549.37
44.95,18.57,1021,1.32,East,Neighborhood,Bundle,Spring,514.34
8.65,12.64,1738,7.69,East,Outlet,None,Fall,244.39
30.47,17.79,1694,4.14,East,Flagship,Loyalty,Spring,408.34
20.62,15.1,1837,3.02,South,Neighborhood,Loyalty,Summer,280.28
28.18,8.83,1394,3.03,East,Flagship,None,Spring,495.53
25.53,15.66,1130,4.14,East,Neighborhood,Discount,Fall,466.09
16.13,23.78,699,4.12,West,Neighborhood,Loyalty,Fall,324.6
23.83,16.97,1769,5.43,North,Neighborhood,Discount,Summer,634.33
7.14,14.77,1591,2.78,South,Neighborhood,Loyalty,Winter,291.06
26.83,19.3,965,3.28,West,Neighborhood,Discount,Fall,380.47
24.39,15.84,1158,8.19,West,Neighborhood,Discount,Summer,642.69
27.11,15.84,1190,2.57,South,Flagship,None,Spring,250.99
30.46,10.63,733,6.72,East,Neighborhood,None,Spring,412.05
24.94,15.94,1032,4.3,South,Flagship,Bundle,Summer,330.26
23.18,19.14,890,3.65,North,Flagship,Discount,Summer,490.85
14.95,11.66,1214,16.83,South,Neighborhood,Discount,Fall,271.18
16.3,20.7,1068,1.84,South,Neighborhood,Discount,Spring,249.04
31.49,14.63,668,14.55,East,Neighborhood,Discount,Summer,595.01
33.49,11.45,2310,9.76,North,Neighborhood,Loyalty,Spring,614.72
20.1,18.99,1964,3.39,West,Neighborhood,Loyalty,Summer,396.09
22.37,13.85,1049,9.94,West,Outlet,Discount,Spring,556.69
14.76,18.04,1523,0.5,East,Neighborhood,Loyalty,Winter,233.68
31.38,13.83,1588,3.14,East,Neighborhood,Bundle,Fall,507.68
27.32,14.76,1936,2.6,South,Flagship,Discount,Spring,582.49
37.53,16.97,1032,7.33,West,Neighborhood,Loyalty,Winter,633.77
14.97,16.16,1891,9.0,East,Neighborhood,None,Spring,431.68
18.98,7.02,1153,7.25,North,Neighborhood,None,Spring,527.12
23.85,10.52,799,6.13,West,Neighborhood,Loyalty,Winter,421.26
27.17,18.72,1726,10.38,West,Neighborhood,Discount,Spring,573.59
20.27,14.47,1981,9.43,West,Neighborhood,Loyalty,Spring,274.86
15.02,12.91,2565,3.33,East,Outlet,Loyalty,Fall,446.63
29.05,9.57,860,3.64,East,Outlet,None,Winter,264.62
27.77,10.68,1715,9.07,South,Neighborhood,Loyalty,Winter,301.29
14.67,6.91,1216,5.39,West,Outlet,Discount,Summer,445.61
32.84,14.59,1753,5.67,West,Flagship,Discount,Spring,479.26
31.36,12.61,738,6.21,North,Flagship,Bundle,Fall,534.49
23.07,11.13,832,1.05,North,Flagship,Loyalty,Spring,509.6
22.64,14.73,1051,3.21,South,Neighborhood,None,Spring,341.75
26.43,16.46,1436,7.77,West,Outlet,Discount,Summer,632.61
15.11,23.37,1112,3.18,West,Flagship,Bundle,Spring,202.64
22.24,8.95,1697,4.68,North,Outlet,Bundle,Fall,414.09
4.78,19.64,1862,7.74,East,Flagship,Bundle,Fall,134.96
29.01,18.89,1670,10.76,South,Outlet,None,Summer,307.2
9.51,11.88,2128,11.61,West,Neighborhood,None,Spring,304.42
34.03,15.81,1587,12.04,West,Flagship,Discount,Fall,659.59
19.36,13.17,852,5.02,West,Neighborhood,Loyalty,Spring,252.53
20.31,15.74,2014,4.64,South,Neighborhood,None,Spring,368.58
16.98,21.04,1128,2.06,South,Neighborhood,None,Spring,133.86
19.7,17.42,1810,13.99,South,Neighborhood,Loyalty,Summer,481.67
33.35,17.03,2108,4.49,North,Outlet,None,Spring,552.73
2.1,13.28,1606,13.78,West,Neighborhood,Loyalty,Fall,174.4
32.22,9.06,727,6.85,West,Neighborhood,Bundle,Spring,577.97
24.7,14.17,987,11.09,West,Neighborhood,Loyalty,Fall,431.13
12.34,19.83,1995,5.27,West,Neighborhood,None,Spring,254.59
13.4,8.89,1324,8.27,East,Neighborhood,None,Fall,442.14
35.41,10.78,1436,11.34,West,Neighborhood,Bundle,Fall,727.96
14.44,15.51,1741,3.79,West,Flagship,Loyalty,Spring,315.89
12.77,11.06,1713,12.08,West,Flagship,Bundle,Spring,505.73
31.1,11.83,1525,2.32,North,Neighborhood,None,Fall,463.45
24.71,13.31,1306,16.56,South,Flagship,Bundle,Winter,462.12
14.5,9.54,1259,6.23,North,Neighborhood,Bundle,Summer,558.56
23.73,11.1,1786,3.25,West,Neighborhood,Bundle,Winter,531.45
13.79,17.81,1649,9.63,East,Flagship,Bundle,Winter,513.97
30.81,9.77,1284,7.07,North,Neighborhood,Loyalty,Spring,404.22
30.49,8.61,1887,1.11,East,Neighborhood,Bundle,Summer,698.86
26.26,12.48,1342,4.14,East,Outlet,None,Winter,228.68
24.89,17.93,1017,2.42,South,Neighborhood,Discount,Spring,433.59
36.09,14.21,1058,2.61,North,Outlet,None,Winter,156.82
22.0,13.14,960,2.53,East,Neighborhood,Discount,Winter,419.17
12.55,15.18,1277,8.0,East,Flagship,Discount,Spring,331.28
25.6,8.02,1955,10.12,West,Neighborhood,None,Spring,480.39
38.69,16.98,1038,3.01,East,Outlet,Discount,Spring,390.45
13.88,16.53,1485,0.82,West,Neighborhood,None,Summer,266.76
19.11,13.36,1104,19.04,East,Outlet,Loyalty,Winter,471.71
25.33,19.02,1283,6.27,East,Outlet,Loyalty,Spring,383.65
21.57,10.49,720,9.68,West,Flagship,None,Fall,448.65
14.14,19.51,1301,4.84,South,Flagship,Loyalty,Winter,362.96
30.97,15.62,1313,0.63,North,Neighborhood,Discount,Fall,567.36
40.56,13.65,1643,7.47,North,Neighborhood,None,Summer,460.32
23.57,14.92,1500,15.46,West,Outlet,None,Spring,443.6
14.77,14.57,861,3.4,East,Outlet,Discount,Fall,285.66
9.61,19.88,1888,0.54,East,Neighborhood,Bundle,Summer,318.79
24.06,10.69,1495,2.05,North,Flagship,Bundle,Spring,443.03
30.83,11.95,1489,9.99,North,Outlet,None,Fall,543.83
25.8,19.15,1396,7.04,North,Neighborhood,None,Fall,308.33
21.98,12.62,1167,12.11,South,Outlet,Discount,Summer,543.77
17.29,18.6,1498,5.64,East,Neighborhood,None,Spring,169.57
13.26,21.8,1614,8.9,South,Neighborhood,None,Spring,247.97
28.68,13.39,614,4.04,South,Flagship,None,Fall,223.29
29.31,17.73,1158,2.2,West,Neighborhood,Loyalty,Fall,392.64
9.63,10.39,1285,8.92,South,Neighborhood,Loyalty,Fall,400.76
34.72,18.02,1515,10.1,East,Neighborhood,Discount,Spring,645.45
26.59,15.8,1937,3.46,West,Flagship,Loyalty,Summer,595.5
33.2,16.89,1053,14.57,South,Neighborhood,Discount,Summer,406.97
11.26,12.42,1176,14.83,East,Outlet,Discount,Spring,655.27
11.07,8.36,1169,2.54,West,Flagship,None,Winter,473.68
20.81,17.01,1039,2.64,West,Flagship,Bundle,Summer,515.04
26.02,6.75,1244,2.75,North,Flagship,Loyalty,Fall,555.43
36.37,13.73,1747,5.1,West,Neighborhood,Bundle,Winter,540.56
27.65,18.76,926,4.2,South,Neighborhood,Discount,Winter,305.51
20.06,15.77,1593,1.77,South,Neighborhood,Bundle,Summer,568.5
13.79,22.79,634,2.82,South,Flagship,None,Winter,65.88
31.84,19.1,1147,0.64,West,Neighborhood,Loyalty,Winter,270.6
14.28,12.38,1252,0.79,South,Neighborhood,Discount,Summer,364.39
35.03,15.11,2154,1.46,South,Neighborhood,Discount,Summer,791.14
19.72,14.81,1276,18.38,East,Outlet,Discount,Winter,593.71
34.72,8.67,409,16.98,North,Flagship,Bundle,Fall,775.97
27.43,11.24,500,9.27,North,Neighborhood,None,Spring,393.28
20.9,12.76,1415,3.49,North,Neighborhood,Bundle,Winter,400.6
17.84,6.86,1676,1.43,North,Neighborhood,None,Winter,112.13
19.27,15.19,1569,5.55,North,Neighborhood,Bundle,Fall,495.2
25.43,14.0,1475,7.62,North,Neighborhood,Loyalty,Winter,425.23
22.62,8.31,1923,3.05,East,Outlet,Loyalty,Winter,499.15
17.25,16.62,1157,7.34,North,Flagship,Discount,Spring,435.4
20.67,17.86,1803,2.03,South,Flagship,Discount,Spring,338.04
22.63,15.91,666,3.55,West,Neighborhood,None,Spring,279.4
4.97,13.7,993,4.61,South,Neighborhood,Bundle,Summer,276.25
25.67,17.37,587,17.3,East,Neighborhood,None,Summer,376.8
14.16,17.72,1276,2.79,North,Flagship,Discount,Spring,458.08
12.77,16.23,1379,7.59,North,Flagship,None,Spring,345.23
8.5,11.7,1451,2.43,North,Outlet,None,Summer,280.17
7.65,16.11,1428,2.15,North,Flagship,Bundle,Fall,309.65
11.16,19.78,983,3.04,South,Neighborhood,None,Winter,65.18
16.33,12.61,1314,5.69,North,Flagship,Bundle,Winter,429.39
37.63,23.39,726,15.8,North,Neighborhood,Discount,Spring,601.51
17.79,12.9,2013,3.43,North,Flagship,None,Fall,518.83
23.42,15.13,1263,10.15,South,Neighborhood,Discount,Summer,704.62
25.2,12.31,1180,17.85,North,Flagship,None,Spring,660.75
23.05,15.89,2115,6.72,South,Outlet,None,Fall,407.49
21.38,8.03,841,11.39,East,Flagship,Bundle,Fall,223.79
12.44,12.82,893,2.9,East,Neighborhood,None,Fall,323.84
33.61,10.63,907,7.45,North,Outlet,Loyalty,Summer,492.31
36.46,15.54,1369,8.8,West,Neighborhood,None,Summer,378.04
8.54,18.98,1594,1.69,East,Neighborhood,None,Winter,87.28
13.81,17.58,1733,2.66,North,Neighborhood,Bundle,Winter,281.86
19.76,5.51,2557,4.46,West,Neighborhood,Discount,Fall,832.59
14.28,23.17,388,3.11,West,Neighborhood,None,Fall,50.0
26.05,16.18,1674,4.86,North,Outlet,Discount,Summer,522.35
16.17,11.89,1149,1.47,South,Neighborhood,None,Winter,227.28
39.32,15.63,1136,16.74,West,Neighborhood,Loyalty,Fall,580.98
31.52,15.7,1121,10.85,East,Neighborhood,Discount,Winter,548.75
23.7,12.33,991,20.0,North,Neighborhood,Bundle,Winter,413.37
30.22,15.79,2158,1.89,North,Flagship,Loyalty,Fall,501.95
30.85,12.57,1779,7.65,South,Neighborhood,Discount,Summer,626.82
17.49,13.38,1410,3.14,South,Outlet,Loyalty,Fall,374.02
15.47,12.25,2008,2.14,East,Flagship,Discount,Fall,687.39
22.63,9.27,719,10.45,South,Neighborhood,Loyalty,Winter,175.85
28.89,15.58,801,5.83,South,Flagship,None,Fall,271.23
23.11,17.34,420,4.23,East,Neighborhood,Bundle,Summer,224.46
9.38,17.06,1085,6.86,North,Flagship,Discount,Fall,177.12
15.58,18.28,1473,2.76,South,Neighborhood,Discount,Summer,484.32
21.41,16.3,1446,2.69,East,Outlet,Bundle,Summer,530.52
21.39,12.87,1467,3.23,West,Neighborhood,Bundle,Winter,466.12
37.78,18.36,765,11.85,East,Neighborhood,None,Spring,371.35
10.91,9.57,1761,11.22,East,Outlet,None,Spring,321.37
26.04,11.4,1508,1.81,North,Outlet,Bundle,Winter,444.0
33.91,11.14,1730,16.28,South,Flagship,Bundle,Fall,893.56
40.17,19.32,548,5.47,East,Neighborhood,Loyalty,Winter,286.6
18.76,18.77,1540,7.57,North,Flagship,Bundle,Summer,573.34
25.93,16.95,866,3.14,South,Outlet,Loyalty,Spring,308.25
26.56,19.29,1221,5.69,South,Outlet,Bundle,Winter,189.77
23.56,11.48,1640,2.13,North,Neighborhood,None,Fall,241.56
21.21,16.39,1441,2.97,South,Outlet,None,Winter,168.27
25.49,14.5,1017,9.88,North,Neighborhood,Bundle,Spring,562.51
2.0,18.39,1403,10.03,South,Neighborhood,Bundle,Winter,167.76
27.46,14.54,711,7.81,North,Flagship,None,Winter,381.29
23.01,13.46,1918,4.02,West,Outlet,Discount,Spring,479.64
20.22,17.16,1308,1.78,East,Flagship,Loyalty,Summer,566.39
38.37,18.5,1903,12.8,East,Outlet,Discount,Summer,644.35
16.6,12.33,1163,10.53,West,Outlet,Discount,Spring,469.55
18.78,14.76,1164,0.94,South,Neighborhood,Discount,Winter,316.65
37.93,10.77,1056,10.15,North,Flagship,None,Spring,458.8
15.34,5.01,1794,4.22,East,Neighborhood,Discount,Summer,798.06
17.6,15.8,1081,9.0,East,Neighborhood,Discount,Fall,343.06
20.82,17.44,1690,1.49,East,Neighborhood,None,Winter,130.16
28.73,16.05,1228,3.28,South,Flagship,Bundle,Summer,512.44
23.66,7.2,511,6.0,North,Outlet,Discount,Winter,439.66
11.66,13.6,1143,16.74,South,Neighborhood,Loyalty,Spring,604.56
17.74,6.13,869,6.01,South,Neighborhood,Loyalty,Fall,487.91
17.14,20.48,1415,11.54,East,Neighborhood,None,Spring,229.25
21.38,10.66,864,6.61,East,Neighborhood,Bundle,Fall,353.01
25.41,20.02,1817,6.44,South,Neighborhood,Discount,Winter,261.5
25.35,18.78,1359,8.1,West,Neighborhood,Loyalty,Winter,269.91
7.79,11.4,1320,5.36,East,Outlet,None,Spring,236.86
30.51,10.47,1695,9.72,North,Neighborhood,Bundle,Fall,787.35
24.02,16.4,1834,2.27,North,Outlet,Bundle,Fall,624.59
33.08,11.62,1391,5.39,North,Outlet,None,Winter,394.99
25.55,15.41,1053,17.66,North,Flagship,None,Spring,369.86
30.81,13.07,602,11.85,North,Outlet,Bundle,Fall,516.34
25.73,7.88,1091,7.02,North,Flagship,Bundle,Winter,537.74
32.77,6.08,1122,10.79,South,Outlet,Discount,Summer,857.23
26.18,15.91,1448,14.74,North,Neighborhood,Bundle,Spring,513.53
21.22,12.75,1245,0.81,West,Outlet,Discount,Summer,515.22
40.18,12.79,1710,4.54,North,Outlet,Bundle,Spring,422.47
29.11,17.78,1124,3.27,East,Outlet,None,Winter,230.65
26.59,19.69,1374,1.59,South,Outlet,Loyalty,Fall,443.55
11.79,13.91,1933,19.29,West,Neighborhood,None,Fall,314.27
11.69,13.64,1554,8.37,North,Flagship,Discount,Fall,404.74
24.34,17.0,1373,10.54,South,Neighborhood,None,Spring,370.62
23.16,9.57,1129,3.39,West,Flagship,None,Winter,252.29
17.09,15.89,1115,4.47,West,Neighborhood,Discount,Summer,535.34
23.13,17.21,1017,5.58,West,Neighborhood,None,Winter,182.57
34.71,17.72,1157,7.4,South,Outlet,Loyalty,Summer,424.57
27.56,7.25,1740,9.47,North,Neighborhood,None,Spring,445.27
12.87,11.95,1300,9.07,East,Outlet,Discount,Spring,436.49
21.11,11.49,793,4.7,West,Flagship,Discount,Summer,764.7
15.56,15.4,2196,15.11,East,Outlet,None,Summer,557.75
18.9,16.92,1544,13.18,East,Outlet,None,Summer,323.95
18.69,20.99,767,6.88,South,Neighborhood,Discount,Winter,351.86
18.18,13.02,1201,5.73,West,Neighborhood,Discount,Summer,476.87
11.96,13.01,1450,4.43,North,Outlet,Discount,Spring,518.47
20.98,19.6,2167,7.43,South,Flagship,Discount,Spring,583.18
17.52,16.19,901,12.73,South,Neighborhood,Discount,Fall,101.0
2.0,20.07,1839,5.83,East,Neighborhood,None,Summer,115.21
38.42,16.15,2030,3.61,North,Flagship,Discount,Winter,723.0
30.71,10.37,1117,5.73,North,Neighborhood,Loyalty,Winter,477.11
18.99,9.67,1275,6.97,East,Flagship,Discount,Winter,421.74
22.15,8.79,934,2.13,South,Flagship,Bundle,Fall,442.45
12.63,17.65,1308,1.66,East,Flagship,Discount,Spring,160.73
35.57,19.75,1384,3.69,North,Outlet,Bundle,Winter,456.75
37.18,22.4,1697,15.09,South,Neighborhood,Bundle,Spring,727.51
23.25,18.37,1891,12.26,East,Outlet,Discount,Fall,642.34
30.19,19.65,1063,1.31,North,Neighborhood,Loyalty,Summer,623.05
23.4,12.68,515,2.58,South,Neighborhood,None,Summer,330.54
11.31,10.37,1390,9.37,North,Neighborhood,None,Summer,488.27
18.71,18.4,1532,4.07,North,Neighborhood,Bundle,Winter,532.86
23.06,16.67,1512,7.71,West,Flagship,Loyalty,Summer,554.62
18.36,15.43,1253,1.39,South,Neighborhood,None,Winter,161.27
20.25,16.55,1456,5.65,West,Flagship,None,Fall,452.68
21.27,16.29,2082,5.23,South,Neighborhood,None,Fall,500.76
21.35,20.14,1572,10.58,East,Neighborhood,None,Winter,220.51
22.42,20.18,1232,7.4,West,Flagship,Bundle,Spring,355.24
13.52,17.18,1175,6.21,East,Flagship,Discount,Summer,425.1
16.26,18.38,1324,1.09,South,Outlet,Discount,Summer,462.26
11.72,17.06,2137,18.03,South,Neighborhood,Discount,Summer,590.77
29.82,13.16,1318,8.91,South,Flagship,None,Winter,220.07
5.15,18.03,1391,3.16,West,Outlet,None,Fall,336.59
31.23,9.42,1183,6.09,West,Flagship,Bundle,Summer,632.42
33.09,19.22,1895,4.17,West,Neighborhood,Loyalty,Fall,489.11
19.58,10.22,2282,4.8,North,Outlet,Loyalty,Summer,555.93
2.0,16.14,1603,12.14,East,Flagship,None,Summer,507.04
19.11,11.62,1437,2.57,West,Flagship,Loyalty,Winter,443.34
21.49,17.21,1417,9.17,North,Flagship,Bundle,Spring,401.17
13.92,14.86,327,12.48,North,Neighborhood,Bundle,Winter,325.26
17.88,8.62,1735,8.22,East,Flagship,Discount,Summer,767.04
34.24,16.68,1460,4.98,East,Neighborhood,Discount,Summer,601.24
27.32,12.69,1593,2.97,West,Flagship,Discount,Spring,692.78
14.6,18.52,1080,3.33,North,Neighborhood,None,Fall,141.8
9.22,15.01,1227,6.19,West,Outlet,None,Fall,181.82
19.38,16.58,1215,5.82,North,Outlet,None,Summer,167.51
20.29,11.17,1860,9.95,North,Neighborhood,Discount,Fall,500.09
25.97,12.64,1230,1.49,North,Neighborhood,Bundle,Summer,705.55
17.72,13.17,2337,12.04,West,Neighborhood,Discount,Spring,751.48
26.09,18.43,1594,20.0,East,Neighborhood,None,Spring,400.73
37.48,21.71,826,5.34,East,Neighborhood,Loyalty,Summer,557.52
28.52,11.78,1342,4.75,South,Flagship,Loyalty,Spring,474.1
21.62,19.31,1107,5.09,West,Outlet,Bundle,Winter,323.27
20.53,6.32,413,6.03,South,Neighborhood,Loyalty,Winter,353.18
19.15,10.22,2120,4.47,West,Flagship,Discount,Spring,642.44
31.45,11.16,1716,0.82,South,Neighborhood,Loyalty,Summer,545.72
16.98,9.59,1640,5.01,South,Neighborhood,None,Summer,527.94
22.36,8.67,1474,6.3,South,Outlet,Discount,Spring,551.61
22.41,16.65,778,12.9,South,Neighborhood,None,Fall,309.02
17.99,14.14,1182,2.54,East,Outlet,None,Winter,311.34
11.02,16.52,1779,16.3,East,Flagship,None,Fall,391.06
24.58,17.76,927,4.23,North,Neighborhood,Bundle,Summer,356.82
21.51,16.06,261,2.81,West,Neighborhood,Bundle,Summer,206.96
26.0,17.63,1298,8.92,South,Flagship,Discount,Fall,511.48
17.73,14.72,1336,3.86,East,Neighborhood,None,Spring,260.94
31.77,10.25,1461,5.42,West,Outlet,Loyalty,Fall,562.88
14.99,19.23,1728,5.7,East,Flagship,Bundle,Fall,406.74
35.7,12.64,1687,8.57,North,Neighborhood,Discount,Winter,855.3
8.02,11.26,1516,5.3,West,Flagship,Bundle,Winter,233.82
25.48,14.29,1938,4.88,East,Flagship,None,Fall,284.3
25.8,11.35,716,4.15,South,Flagship,Discount,Fall,526.78
15.64,13.33,1627,7.99,North,Outlet,Loyalty,Summer,448.85
25.4,16.38,1682,3.7,West,Outlet,None,Winter,346.07
32.24,16.39,842,13.18,East,Outlet,Discount,Winter,528.26
4.27,11.41,724,5.74,East,Neighborhood,Loyalty,Summer,329.84
26.02,13.05,1064,1.15,West,Flagship,Bundle,Spring,356.86
2.05,19.3,1102,6.97,West,Neighborhood,None,Winter,50.0
14.27,16.99,1739,7.79,North,Neighborhood,None,Winter,297.47
35.03,23.3,1123,13.28,South,Outlet,None,Spring,372.88
17.35,19.72,1015,3.09,North,Flagship,Bundle,Winter,491.12
12.61,19.58,1125,2.72,East,Neighborhood,Discount,Winter,317.33
20.42,9.45,1903,8.77,North,Flagship,None,Spring,529.74
38.54,18.06,1406,11.88,East,Neighborhood,Loyalty,Spring,400.06
7.35,14.79,1319,2.99,West,Neighborhood,Discount,Fall,246.31
13.59,12.8,1350,6.79,West,Neighborhood,None,Summer,305.07
33.98,15.67,1981,5.37,South,Neighborhood,Discount,Summer,730.6
36.86,18.78,1063,3.07,West,Neighborhood,Bundle,Spring,484.71
21.17,17.0,1992,5.14,North,Neighborhood,None,Spring,261.67
12.09,11.49,1495,11.33,West,Outlet,None,Winter,246.29
38.77,17.97,1328,5.76,North,Outlet,Loyalty,Fall,570.0
34.76,12.45,2525,4.94,South,Outlet,Discount,Fall,755.49
27.43,15.87,925,8.46,West,Outlet,Discount,Spring,537.41
15.5,13.79,1241,12.01,North,Neighborhood,Discount,Winter,433.08
21.61,14.12,845,2.5,North,Neighborhood,None,Winter,374.12
20.72,18.06,1829,6.99,East,Neighborhood,None,Summer,430.16
24.65,10.84,2160,4.25,East,Neighborhood,Discount,Summer,682.24
33.61,22.78,2151,5.78,East,Outlet,None,Winter,281.21
29.04,7.72,1951,8.91,East,Flagship,None,Summer,698.99
13.38,12.61,1311,4.52,East,Outlet,Loyalty,Spring,105.77
33.01,16.48,1236,5.27,South,Neighborhood,Loyalty,Winter,336.83
24.51,17.34,648,10.72,South,Neighborhood,Bundle,Summer,368.82
27.5,14.6,2316,7.66,North,Neighborhood,Loyalty,Fall,478.48
33.73,14.77,1611,5.18,West,Outlet,None,Winter,274.72
13.11,16.64,1179,6.19,East,Neighborhood,Loyalty,Winter,299.63
21.71,14.08,1998,5.87,South,Neighborhood,None,Fall,410.86
17.75,20.57,962,1.06,South,Flagship,Loyalty,Spring,236.71
9.46,18.36,1583,6.27,West,Neighborhood,Loyalty,Fall,320.2
24.77,18.49,1322,1.84,North,Flagship,Bundle,Winter,410.97
42.09,11.14,1687,11.79,East,Neighborhood,Loyalty,Spring,713.37
7.28,14.68,1371,1.8,East,Neighborhood,Discount,Summer,340.15
21.74,13.8,747,4.09,East,Neighborhood,None,Summer,164.43
27.12,10.98,1434,3.51,North,Flagship,Discount,Summer,845.04
22.98,16.44,1872,14.7,West,Flagship,Discount,Winter,588.67
21.09,12.85,1387,11.47,West,Neighborhood,None,Fall,343.2
11.61,17.62,1749,0.5,East,Flagship,Bundle,Spring,231.88
23.86,10.72,930,5.55,East,Flagship,Loyalty,Summer,550.95
15.95,21.88,1388,2.15,West,Flagship,None,Spring,223.23
4.48,11.41,1119,6.28,East,Outlet,Bundle,Winter,335.59
