Tenure_Months,Avg_Monthly_Spend,Support_Calls,Products_Owned,Referrals,CLV_Target
70,231.41184814996353,3,1,1,13789.42
1,165.119959688717,2,2,0,10.68
5,144.48075071220535,3,1,1,994.65
12,113.41944161833852,2,3,2,2095.08
46,47.67083945553195,2,4,0,2285.72
34,184.3750298406624,2,4,2,7026.93
49,149.71889222277596,2,4,0,6505.61
45,483.88034521587554,0,1,1,17702.21
27,287.70023660002107,4,3,2,7425.74
26,186.69297873464362,4,2,1,4963.68
47,298.62444847697407,1,4,2,13114.07
56,86.81441664593385,3,1,1,4274.89
63,233.1409996170574,0,4,2,13684.86
48,320.59247428211063,2,2,0,14136.61
61,254.67095926037666,0,3,2,13780.72
26,212.85382431407564,3,2,0,4881.62
36,497.0472266718551,2,3,0,15937.12
1,442.55108583148495,1,3,0,913.51
8,319.23485991653126,0,3,3,3256.87
52,293.3011333674957,0,4,1,13623.49
47,317.91703031580033,4,2,0,12689.89
56,116.62981175476796,2,4,3,7002.21
14,209.66611676687293,2,2,2,3396.83
28,38.94057578763167,3,1,0,1610.99
2,248.2620979936768,5,1,2,195.25
26,280.6518002996783,3,2,1,7391.46
14,129.3198733295406,0,2,0,1764.34
59,482.7338466394466,0,2,2,24960.06
56,456.53821324987615,2,2,0,22394.86
7,366.6287530188348,2,3,1,3203.42
3,276.025581807374,2,4,2,2220.48
23,437.5851966308888,3,3,0,9583.01
18,82.7131250352622,0,4,0,1851.91
38,399.4447012519448,0,4,0,14195.49
15,79.91399070408718,3,4,0,1270.02
64,401.2211180237146,2,3,1,22283.59
28,152.36843276065133,3,2,1,3972.9
39,441.0034788887307,1,3,0,14750.15
57,473.14020503619093,3,3,0,23270.76
17,91.42206531445551,3,4,0,2095.95
44,242.0842904313889,1,1,2,9933.2
25,490.8739415180888,3,1,0,10111.62
17,252.03556926711036,4,3,3,4365.61
13,434.50281080698164,2,4,0,4868.83
25,302.5911306230335,1,3,2,7375.13
68,200.1583558014089,4,3,2,11706.69
10,157.1761066524177,1,2,1,1503.83
67,117.54708372132188,1,4,0,7084.69
18,385.6631318612947,3,1,1,6685.77
34,205.53944327505337,1,1,2,6491.86
8,265.4122218563606,4,1,2,2710.04
40,256.3162304005673,3,3,1,9360.06
42,297.093934031903,0,4,1,11243.51
41,435.47702989978507,2,2,1,15412.12
6,490.7548849200461,3,1,1,2131.91
52,215.64042011543214,2,4,2,11521.37
26,417.20908261102545,1,1,1,10140.13
64,386.97334143426446,4,2,0,21469.28
59,295.29389669867516,1,4,0,14780.57
56,478.9026289337279,1,3,0,22957.13
59,116.22776745363333,0,3,0,5929.54
70,72.44682094861828,3,1,2,4868.48
33,429.9017441386026,0,1,3,12481.23
53,230.79191198419917,2,4,0,10628.74
22,426.545050019389,1,2,1,8018.85
21,448.68329849379916,1,1,0,7988.28
70,49.97964493715429,2,4,0,3507.0
70,444.06308623330915,4,2,0,26430.42
4,235.19314657732264,4,1,0,1409.79
62,265.00759472203146,3,1,1,14581.71
62,320.7644053247409,4,4,0,16963.79
24,464.66365123044164,1,1,2,10257.47
55,29.175725326286734,2,3,0,1503.55
9,248.8848647925522,1,2,0,1991.26
3,350.1065803666691,1,2,1,1625.42
31,366.89933969514965,4,3,1,10509.61
40,352.4155671378118,2,4,1,12462.39
36,84.52886211589849,0,3,0,2658.43
24,163.709882418407,3,3,3,4438.17
6,192.18345220016647,1,2,0,1407.29
66,406.1298596861624,2,4,0,22972.78
4,153.80473875898545,2,1,1,1140.7
6,121.13838265625752,0,3,3,2048.32
51,479.57504913828615,2,3,1,21047.17
62,24.25437685446507,5,4,0,2005.96
57,498.95401072734956,2,3,0,25172.11
66,344.8742234515499,3,4,2,21289.29
8,417.6652637355762,0,1,0,3861.12
26,161.41731024617272,2,4,2,4233.69
51,26.87133328018879,1,1,1,1809.79
45,374.17736890953444,3,4,1,15455.74
44,420.38940656032435,2,3,2,16404.77
5,375.4285433376892,1,1,1,2172.44
70,88.56813790440253,2,3,0,4983.37
26,381.64540268334514,1,1,0,7604.16
68,389.0829354116677,2,4,1,22401.03
19,336.09944752162636,5,4,1,6235.2
20,387.7356477418814,3,4,1,7522.08
12,426.04229104531146,4,2,0,4325.12
47,314.52997483398,2,2,2,14062.5
1,62.53026270544595,2,1,0,440.13
14,254.0613486402612,0,2,1,2890.8
64,57.27168064237043,2,4,3,4319.06
38,215.62065489556682,1,2,1,7086.33
37,215.41111478030126,1,2,0,7198.47
11,51.68472518731596,2,3,0,833.29
3,187.43385630535008,3,1,0,145.31
33,73.27908741983111,1,1,0,2730.9
6,407.95290080442663,2,1,0,2169.49
50,474.89025246294597,1,2,2,20714.24
10,54.71190812381053,2,4,0,892.18
5,478.4552995000167,1,3,0,3311.27
23,270.83676768163764,1,1,1,6046.64
10,163.79152541785948,3,2,2,1995.23
44,56.893796132558485,3,4,0,2266.98
2,260.29964867380056,1,3,2,987.82
13,401.3674613555594,0,3,1,4893.71
40,359.40150908801513,3,1,1,12727.94
2,44.10848550270741,3,1,0,333.63
65,54.99288097659368,3,4,2,3765.74
63,213.37917566366582,0,2,0,12052.12
17,161.73943714301276,0,4,0,2591.07
9,131.54447506690298,0,1,0,932.55
15,154.88215947618252,4,4,0,1847.64
24,405.67171678250463,1,2,4,8786.85
38,466.02946574328985,3,3,2,15377.68
35,214.44929337323188,0,3,1,7069.39
49,454.93328102359857,0,3,2,19373.68
69,174.31793659898335,4,3,1,11323.74
62,248.68975344501996,1,1,1,13065.25
60,128.49391895167986,2,1,0,6680.19
50,327.4285002444051,4,2,0,14647.93
9,489.91093528390826,1,2,1,4303.23
34,309.67668610082177,0,2,1,9334.13
35,191.75076037450344,1,2,2,6517.78
1,330.95237407545363,2,4,1,779.84
40,79.00192566338603,1,2,2,3101.29
64,446.55635852739135,1,3,2,25518.28
22,261.4802963743215,1,3,1,5293.51
60,235.6878761790282,3,3,2,13226.5
64,301.21509845768924,1,4,0,17299.9
11,319.89625413891315,1,2,0,3322.53
14,54.45238698872625,3,3,1,1530.68
60,347.65626618723314,1,3,2,18377.68
30,136.1272065514542,2,3,2,4619.72
35,362.6972636031631,0,3,0,11615.01
37,414.81670130441444,1,1,1,13248.04
5,405.90008362520973,3,2,1,1923.95
26,285.2004643557868,1,2,2,7203.56
62,269.6815483091606,4,4,2,15988.09
4,88.58046144291762,2,1,2,781.22
42,392.16615219350507,0,4,0,14376.71
18,150.2765026144229,4,3,0,3011.29
40,258.41380295261433,2,4,1,9575.31
39,156.45156460520803,1,3,1,6168.92
14,84.2376142398527,1,3,0,1911.93
32,322.18769450803353,2,2,3,8844.19
51,46.07937671499384,1,2,1,2490.4
38,379.34971238057597,2,2,2,12850.47
23,172.441661725336,2,2,1,3459.56
63,20.064652642152954,1,2,4,1734.62
15,265.3419868338703,1,1,0,2799.52
25,42.4889160932495,5,2,0,1011.42
17,152.56138775403176,1,4,2,3058.56
66,359.3487139787438,6,3,1,20204.84
53,50.09101837849562,4,2,0,2407.29
51,422.8824763308811,2,1,1,18287.96
39,21.833562876119892,1,4,1,1929.92
51,138.47545721691307,1,4,1,6578.66
70,375.6339469529943,3,3,0,23399.54
6,171.80967187006726,2,4,2,1874.65
67,68.9083462716865,1,4,0,4261.3
7,192.91228102420538,4,4,1,1530.57
51,149.78877746457226,2,4,2,8070.86
42,424.50171303706634,1,1,1,15866.15
64,170.4070004408687,3,3,0,9292.61
15,398.68758645248346,2,2,1,5602.73
29,448.09862950915266,4,4,1,10479.57
33,228.23236139673418,4,1,1,6070.48
27,456.7727090501082,1,3,0,10491.49
36,201.11266590233257,4,2,1,6213.69
29,482.7576399152519,0,3,1,13256.68
38,62.858971772275005,3,1,0,1410.93
57,349.76924792155654,3,1,2,16783.28
27,257.03073941932576,2,1,2,6652.71
55,206.07142661871057,3,4,0,10191.65
33,323.7017017993284,1,1,1,9273.29
68,357.85140398447896,4,2,1,22036.8
66,22.094369432148362,3,4,0,1896.54
10,100.13748259865538,0,3,1,1979.24
5,362.262104304473,2,2,1,1975.17
38,339.8649985175391,1,4,4,12277.19
13,483.70280246176503,0,1,0,5206.58
31,385.29813932037587,3,3,1,11174.62
47,476.3708997110423,1,1,1,19801.9
52,357.2194407367073,1,2,2,16439.47
56,163.06506014693272,1,2,0,8196.82
15,70.57516268041111,4,4,1,1892.59
29,395.27545440556906,3,2,0,9627.91
8,329.19162630843965,0,3,0,2528.96
5,43.12928594878219,1,4,4,1881.92
29,192.8242236324696,4,3,1,4564.07
47,479.26391143245735,2,1,0,19457.84
68,260.1925499408966,1,3,0,14960.25
45,227.70998528945822,2,3,2,9959.61
2,239.6958104764611,1,2,2,2064.23
27,120.26370752247858,3,1,1,2773.98
36,196.9794420151017,3,2,2,6154.75
36,197.51036287384477,6,1,0,5852.08
26,45.13040968998675,1,1,2,1516.82
43,388.43246168860077,3,3,2,15338.75
27,219.92212731386192,1,2,2,5898.17
69,414.6463456718832,4,3,0,24438.67
20,428.1670405375498,2,3,0,7685.42
11,121.75714625535588,3,3,3,1798.47
38,335.5296714416617,1,1,0,11330.49
6,246.6952659982312,2,2,0,2153.11
23,442.47523420231283,2,2,2,8736.16
47,123.55552600469798,2,3,0,4724.7
46,345.3503361488212,1,1,2,13918.14
12,311.7210186813068,4,2,1,2992.73
13,161.74470923447973,1,4,0,1856.2
62,85.56843375256285,1,2,0,4283.87
60,332.78708502909274,2,3,1,17491.85
43,374.52677990351873,2,4,0,13998.48
68,171.501125006408,5,1,0,9981.75
5,329.5196499307106,0,4,3,2488.79
37,209.66283565352157,0,4,0,6701.36
31,362.3393039756565,2,3,0,9899.52
9,115.6233319491455,1,2,0,760.75
51,447.30320126536367,4,1,1,19878.79
29,157.95660630347828,4,4,2,4182.17
40,196.5372741229534,2,3,0,6180.06
41,47.8841369985679,1,2,1,1652.29
11,73.52586191421267,1,4,0,1101.59
23,267.6137133019175,4,3,1,5627.29
1,148.4444848294263,1,3,0,582.42
46,421.0305083562533,8,3,2,16764.0
21,27.052826554377845,0,1,0,367.49
36,201.96514336252937,1,2,1,7259.85
54,181.92586244916447,3,4,1,9522.39
57,29.277262840448497,1,2,0,1983.78
1,79.6968315202449,3,2,2,837.72
63,218.54848396094494,2,4,0,12372.28
54,256.5750005347744,2,2,0,11641.94
55,214.05907868233717,1,1,0,10171.02
40,274.850085637805,2,4,2,9943.78
15,305.6632039547271,0,4,3,4770.25
21,24.763434141361103,1,3,0,341.75
47,242.76567653768186,0,2,1,10419.6
53,482.4796356260424,5,4,3,22949.29
9,269.1354944621834,4,4,1,2597.26
52,345.2202883802975,3,1,1,15318.72
57,169.69465180010394,1,3,2,8422.39
26,391.515861513326,2,4,2,9789.61
41,391.00231130053527,1,1,1,13825.08
35,270.2221028739867,4,4,2,9348.97
63,488.4866351740225,1,4,0,26793.03
25,80.26410308607362,0,4,1,2795.67
38,28.134879146998877,3,1,0,921.48
2,389.6759416434061,1,2,1,1257.35
7,407.4346579351436,3,4,0,3358.26
34,77.69946997787659,0,4,1,3030.32
17,147.4797598201309,2,2,0,2517.43
43,28.425134415981876,2,4,0,1409.58
59,160.78813317467106,1,3,2,8918.65
51,391.1080994809623,3,4,0,18209.21
54,268.6210533020379,3,3,0,12922.89
24,187.08588472077827,1,2,0,3858.46
25,198.43486155503854,1,1,2,4990.58
71,20.649740343424714,3,2,0,1014.0
52,163.90425323131322,1,4,0,7715.08
70,330.30019598620663,0,3,2,20159.38
33,487.6133330318514,1,1,2,14528.3
49,426.5891969522718,3,4,0,18135.46
29,31.32558302985398,4,1,2,1331.66
63,451.30909024392287,2,1,3,25384.55
22,395.93523838334045,0,4,1,8024.82
26,394.5805393140706,2,2,2,9219.14
28,239.8379643217143,1,4,2,6747.59
49,211.04254061816135,3,4,1,9155.97
71,165.39954983993246,2,2,2,10687.57
49,51.53353229809557,2,3,0,2519.91
20,129.55297447697558,2,4,1,3045.91
63,138.36974478945183,0,1,0,7714.59
61,252.35699346089677,3,4,1,13116.5
49,378.7733151664131,2,4,0,15656.99
71,247.42871763101436,0,1,4,15587.77
1,47.76533573463709,2,2,0,280.59
13,479.73910447433786,2,3,0,5507.59
51,472.50767316517386,2,3,4,20627.13
56,396.890980711236,2,1,1,20172.51
62,495.83739275082587,3,2,0,25205.84
32,281.3515197441262,1,4,0,8221.17
30,482.1288081215389,2,4,1,13359.11
29,56.29041949604037,2,4,1,1911.36
49,195.52675916545823,3,4,0,8863.24
45,128.1830086432476,2,4,1,5295.93
30,113.99988038444961,4,1,1,3188.08
16,87.58541546848451,2,4,1,1201.51
40,318.7585479516784,1,4,3,12681.75
19,395.03449075870645,1,2,0,6635.24
18,297.58323172177313,0,4,0,4437.33
1,90.54210060234064,2,3,0,654.05
47,409.33940956806606,4,1,2,17646.81
66,325.2582594385897,1,1,0,17923.4
38,206.31953894095784,0,1,0,6729.37
51,343.5825418573102,2,3,4,16011.41
63,144.75439003655976,0,4,0,8064.79
4,185.69226007722105,0,1,0,437.39
1,460.3932047033553,3,3,0,363.58
8,159.44216272228178,2,2,3,1819.27
29,245.59436871580957,3,4,0,6368.19
55,447.26774595008703,1,3,0,21090.09
3,359.70624812841316,1,4,2,2337.5
32,49.85754855905732,2,2,2,2284.44
10,90.70546125390577,4,3,1,761.4
34,23.763963570520072,3,4,3,1716.65
55,322.84245930999845,1,3,1,16324.92
32,234.8832441970008,4,1,0,6481.56
50,84.45192843309226,1,4,2,4758.67
7,479.80837810724984,3,3,0,3298.89
8,274.2366674938976,1,1,0,1855.43
65,136.1087811741868,1,2,1,8009.9
57,260.2897141542596,2,4,0,12947.3
67,346.2177597128517,3,4,1,20836.96
59,56.59482462731095,1,2,2,3463.63
54,151.85783122298815,3,1,2,7442.81
67,407.34343562431695,2,2,1,24028.58
51,240.6391377932774,2,4,2,11303.93
8,282.35702817550157,2,3,0,2248.83
34,227.75168106054525,0,1,0,6583.77
35,41.07197246864246,5,1,0,1118.26
32,99.55989431367485,2,1,1,2904.59
46,233.85998659610763,2,2,0,9130.51
16,120.40902339580535,0,2,1,1932.55
68,43.9899337566458,4,3,2,3257.09
37,424.9518387448754,1,3,2,14791.56
54,490.9724139987756,1,1,0,22980.85
14,400.70857951843493,5,3,2,4703.28
55,429.81676241824016,0,2,0,20172.96
48,136.14902255218178,2,3,1,5929.92
7,481.10094824633586,1,2,2,2773.04
7,114.52433813764563,3,3,2,1594.77
33,476.6863089736795,2,4,0,13829.32
23,497.5132611036565,5,2,2,11411.49
19,361.6269467581034,3,4,1,6394.67
19,490.94899126007454,2,2,2,8215.44
36,293.3790941922098,2,3,1,9197.47
29,144.58005592452338,1,4,1,4200.78
60,229.75802511949803,0,3,0,12412.57
2,304.90924898181726,1,2,0,1092.27
1,55.0791497729672,3,4,0,1470.25
47,318.7247670162781,1,1,1,12533.8
69,490.9653616459014,1,3,0,29247.16
20,111.25167189618926,0,2,0,1947.93
11,400.445655818424,2,4,0,4429.49
2,455.7914210142173,3,3,2,2320.01
67,472.976764553706,4,4,1,28068.54
12,480.86509011461465,2,3,5,5862.2
20,270.3006265863065,3,3,1,5458.04
5,489.10779583592176,3,3,0,1242.87
37,383.5088994245307,2,4,0,11401.02
38,97.60228939374171,3,4,1,3780.68
9,248.9120511046256,0,3,0,2613.38
53,364.7989641785619,2,1,1,16912.16
44,138.72335159316,2,1,3,6702.18
24,327.49528810346595,4,1,1,6951.6
30,339.9682299423772,2,2,0,8828.97
59,98.09587702811163,2,1,1,5632.73
14,291.240949977323,2,4,0,3809.05
9,390.3809172697317,2,1,1,3488.92
40,259.4699189772521,1,4,1,9819.92
66,25.809496052531564,2,2,0,1353.84
25,24.338465158060245,3,4,0,1103.15
22,191.37408510560584,1,4,0,4998.28
4,464.57315284725536,3,4,2,3149.57
26,129.76485420973222,3,1,1,2826.56
58,324.4945706584098,1,3,0,17483.62
29,126.59641793279388,1,4,0,3926.01
37,174.40159503658333,4,1,1,5869.2
70,427.0602030087123,2,1,2,25920.16
18,369.8534922895745,1,1,2,6594.82
42,65.7916531103411,1,3,0,2790.97
41,225.77697007348814,0,3,2,8826.44
38,34.00148654972695,2,3,1,1666.05
34,250.8272703694443,3,3,1,8228.16
17,337.9683256165127,2,2,2,5998.35
37,76.88125932711274,1,3,2,3272.35
25,158.6647706763995,1,3,0,3200.43
27,210.96158024103534,4,3,2,5626.19
57,461.3748918349039,1,4,2,23027.65
31,496.76240740302273,1,4,0,13384.99
6,41.557423517895614,3,3,0,486.89
40,385.2838032777882,1,2,2,13332.29
12,198.42755187312474,1,4,3,2686.11
53,208.3799293901504,3,1,1,9770.53
71,382.04718720657087,2,4,0,23579.72
10,460.8446874297961,2,1,1,4221.13
45,476.44572536122325,2,4,2,19508.96
17,297.01884129839397,2,3,0,4356.11
26,191.41815646424135,3,4,1,5076.9
62,398.023561212214,3,3,0,21958.23
46,140.4806639659041,5,3,1,5873.49
64,290.7555338400885,1,4,0,17218.04
2,192.11766153193912,3,1,0,361.4
54,335.1829153797805,1,1,0,15091.33
65,135.3914781888833,0,4,2,8892.8
51,111.96461395271638,2,3,1,5423.6
53,460.7547616042098,3,1,1,21580.25
36,68.86576781577772,1,2,2,3000.53
26,262.8597957127672,4,3,1,6187.77
29,126.00933582224428,1,4,1,4463.27
21,38.686382396320376,0,3,0,981.08
11,37.289032779884664,2,2,0,0.0
40,104.10645061079713,0,2,1,4399.63
11,436.0497701628801,4,1,0,4228.34
36,155.5897971089728,1,2,2,6001.03
59,476.2204018761419,2,3,0,23768.02
39,299.1787006348129,1,1,0,9911.66
54,229.5748110890077,1,2,2,11143.14
55,298.4426406413382,1,1,0,14476.66
24,268.0152249086085,2,1,1,6059.98
22,384.21260180351607,1,4,2,8345.48
69,155.5981116669691,2,1,1,9519.42
56,189.46418796814515,3,1,1,8829.17
33,449.16526521596035,4,2,1,13372.32
36,474.29912631219463,2,3,0,15297.43
20,448.42794919350774,2,3,2,9684.31
62,221.33503709951052,3,2,0,12022.69
26,394.5754414433032,3,3,0,9349.63
66,248.64115198452743,2,1,2,14711.42
40,258.81912903012903,3,4,2,9465.68
17,118.2464523474963,1,1,0,2262.35
1,303.7425455640879,4,1,2,702.99
61,109.34523092160701,0,4,1,6451.11
43,179.151055552253,5,2,0,6570.45
42,430.41449677756884,2,1,2,15891.82
25,119.3963884212105,1,1,1,2717.21
39,54.155976883247746,1,2,0,2120.67
35,53.12364445415183,1,1,2,2153.88
3,471.5765698414918,2,1,1,1415.16
44,263.3218102216806,1,3,0,10464.67
51,216.5177944721688,4,2,0,9536.99
12,409.22171888380086,3,1,0,3909.44
19,421.1964453970477,0,1,3,7312.46
44,179.45169589549022,2,4,0,7259.84
59,352.9366675874217,0,4,1,18194.03
49,390.1389516089056,0,4,0,16444.02
61,334.23232969565817,2,1,3,17764.16
17,92.7656359040477,3,1,1,1693.79
57,440.4238800881874,2,4,0,22469.43
55,278.7653853132842,2,3,3,14295.08
47,155.58676465760178,1,3,3,7705.73
12,224.10952901009307,0,3,2,3207.2
62,38.034123391475546,2,3,2,2909.77
8,81.37606458676044,3,2,1,1531.51
21,387.4624402476132,3,4,2,8290.36
70,20.005584682575748,3,1,2,1995.81
25,219.95159767150025,3,4,0,5030.65
12,270.80488692108247,0,3,1,3459.92
15,46.2245216004667,1,1,2,1325.44
59,487.07751822671975,2,2,2,24807.33
26,128.54015899984253,1,4,2,3034.9
26,166.01538542541482,4,1,0,3790.79
47,165.89240588241313,0,1,0,7145.55
32,130.59999781632797,1,3,0,3977.49
10,20.70743460142948,4,3,0,261.07
16,370.08550116223824,1,4,1,5677.76
71,484.08583990365696,2,2,1,28575.17
17,127.66087197682162,4,1,0,1693.46
23,338.2626520656428,2,3,1,6699.91
26,376.11023694018326,3,4,1,8685.57
7,427.24418196345187,1,3,2,2848.38
14,222.86201456653237,2,4,0,2635.02
7,165.40683470740603,1,3,1,1254.89
9,176.14166433105493,3,2,2,2258.06
48,362.05823988728616,3,1,1,14791.75
59,412.0541439227053,1,3,0,20508.88
39,107.17470452316928,3,1,1,4084.45
18,198.0516839157273,3,4,0,3546.65
59,452.931294439592,3,2,0,21635.12
17,407.2128894534748,2,1,1,6695.63
14,492.73203332598837,0,3,1,6602.89
31,382.03916464739876,4,1,3,11165.0
24,208.7336964934027,1,1,2,4772.09
60,303.5061603174261,2,4,0,16713.74
45,337.28684203871376,2,2,0,12932.25
3,57.65879183221949,1,2,1,0.0
37,281.35854036985523,2,1,1,8766.8
43,360.4739976668526,6,1,1,13546.47
40,100.31422592050899,0,4,2,4566.39
55,394.70322436426744,4,1,1,18611.44
39,300.2109346467736,2,4,2,10518.01
15,477.06645713484545,1,2,0,6347.52
4,40.36270313930801,2,2,1,592.63
25,147.35654602662413,4,4,2,4042.12
13,308.7458620639155,1,1,0,3760.94
33,162.34875785884674,2,2,1,5083.17
16,362.92359875419623,2,3,1,5424.29
42,384.32253561052687,5,4,0,13601.89
66,69.20766275190773,1,2,3,5342.61
55,266.6501428192485,0,2,0,13624.57
42,264.26746668370686,2,2,1,10648.08
34,197.25476970345971,1,3,1,6634.34
30,467.8039340334426,0,3,3,12234.67
13,417.2030335391462,1,3,2,4600.97
13,354.66050331662564,1,1,3,4512.22
18,362.87678515279885,2,4,0,6035.66
32,241.62374903029718,2,1,0,6591.84
39,462.0773701263564,2,3,0,15780.75
46,353.405805081577,0,4,0,13754.38
29,369.9109095947919,3,1,0,9912.83
62,433.61163381792574,1,1,0,23734.25
62,151.55436288425167,1,1,0,7599.14
57,407.3940338560174,3,3,1,19365.59
16,113.71548941911618,1,2,0,1769.5
56,185.76413707754617,0,4,1,10188.23
10,181.0930180495245,1,3,1,2181.72
30,489.6922248267875,2,4,1,13388.79
25,431.1378673990049,2,3,3,10044.98
5,356.5615335633247,1,1,1,1940.35
65,368.98724557538725,1,1,2,21449.14
49,289.7949413132341,4,2,3,13123.31
3,474.60352021208917,3,2,0,1684.46
45,258.20420138353353,0,4,1,10012.61
14,202.64850073754937,1,2,0,3524.66
30,98.25696172716368,3,2,1,2344.05
68,397.3787130853078,3,4,1,23761.5
18,372.5330873962839,1,3,0,6031.6
62,204.49041849158473,2,2,1,11193.64
37,32.09283870043009,3,3,1,1849.23
25,422.71871730464517,1,1,2,9225.83
48,25.480632057955344,0,2,1,1454.28
65,357.77589422194444,2,1,0,19278.02
53,485.72341266850736,3,1,2,23006.02
15,230.07743751113767,2,3,4,4403.92
49,132.7872343980573,3,4,0,6229.06
68,358.3380848208232,0,2,1,21651.02
12,412.22150816748086,2,3,0,5572.53
59,282.2865517173667,4,4,0,15378.2
37,484.1769321229502,4,1,0,15372.48
61,44.800986395821326,2,2,2,3083.86
43,262.30188718617353,2,1,0,9417.7
70,364.85789471482406,1,1,0,22173.05
39,434.0674261516059,1,2,0,15009.94
56,106.04269371573922,0,4,0,5390.14
63,404.00167124656707,2,4,2,23005.62
46,285.2993963449017,0,2,0,11901.55
11,210.34576735518235,1,2,0,1767.27
62,83.22321371796491,3,3,1,5015.74
25,435.34196427627796,0,3,0,9666.99
71,95.49113992626337,2,1,0,5821.02
52,168.69817242036763,1,2,2,7845.31
4,159.2218553419697,2,4,1,607.97
59,438.27873641161005,0,1,1,21987.51
20,342.89743722027106,2,1,0,5467.09
63,402.4070706518587,1,1,1,22080.94
54,140.22459142039952,3,1,1,6838.07
57,319.9395678113595,3,4,1,16359.86
41,294.43807190899935,2,1,2,10196.52
3,419.7585808583701,2,2,1,959.54
6,454.92178903100506,2,3,0,2354.83
5,25.835250309145668,0,4,1,967.04
5,343.52956114822047,2,2,0,1511.91
54,44.881183577469926,2,2,0,2370.21
47,283.45215923713084,1,2,2,12509.8
49,158.06370994096554,3,3,1,6769.59
9,167.25276777062777,1,3,1,1565.71
20,189.42008165713116,1,3,3,4428.57
61,318.22037554381285,2,2,1,16922.07
35,180.34398352100922,1,3,1,6310.27
50,371.6955442833346,1,1,1,16155.74
62,214.17314507545746,0,3,0,12445.47
17,52.80953614878014,3,4,3,1459.81
3,396.2047243923715,2,2,1,1888.84
32,157.16399580449888,2,2,0,4560.32
13,227.72810220764606,4,1,0,1905.74
68,349.0130639465127,1,3,0,19596.69
14,179.57895543138176,3,3,0,2013.47
11,47.161114950423496,2,4,0,1342.19
56,199.48210256615053,2,1,0,9993.16
67,473.33531969326566,1,4,0,27442.4
29,328.03251070330793,3,4,1,8632.9
9,342.30999136025935,1,2,1,2720.32
67,323.49543374606714,2,2,1,18796.54
25,115.51622670052966,1,3,0,2690.08
42,220.80025476909447,3,3,0,8899.33
9,380.4511032143928,3,4,1,3019.26
40,68.65899082551638,1,3,2,3370.61
25,153.36933252306187,2,4,1,4680.96
5,152.63317206360972,0,3,1,1640.18
11,227.36908524536287,2,3,2,2520.81
59,490.57699565224885,2,2,0,23971.42
38,52.40122240823453,0,2,1,2332.07
5,268.9764773026856,3,2,0,1373.55
48,106.09504736586102,4,2,0,4883.78
18,485.92474179667715,0,1,0,7882.44
70,74.38568226918281,3,2,2,4927.46
37,213.7284811335638,1,1,4,7601.88
60,374.184792720611,2,2,0,18657.2
48,358.18612545317376,3,3,1,15240.97
28,222.90974570908747,2,4,3,5987.38
69,186.33160061730476,0,3,0,11736.13
40,210.85394170537788,0,3,0,7857.89
45,146.85260631614685,1,1,1,6180.28
62,118.55981057926391,4,2,3,6643.2
58,251.85905482826718,1,4,1,13157.78
67,148.8962029124515,0,4,2,9433.86
56,157.98159915068004,2,2,0,7768.89
40,335.2429104677874,0,1,1,12045.4
40,484.89791921594826,3,1,1,16472.93
33,309.74585626850006,3,1,2,8986.86
6,56.95014419118381,2,4,2,1523.79
19,56.280134649952146,4,1,2,1008.29
40,476.68314600587166,0,1,1,16205.27
59,162.69957934752014,4,4,0,8581.61
59,64.19215331958821,1,4,0,4073.03
48,307.54140183218317,2,3,0,12468.09
41,319.35141357932775,1,4,1,12757.08
13,331.2823136569703,1,2,0,3286.75
45,148.35297337161984,4,4,2,7174.58
53,27.253128422948016,0,4,3,2953.98
42,483.2073773381465,0,1,0,16625.96
63,140.4286619317292,3,3,0,7230.69
27,344.4926182652228,1,1,2,8851.06
38,359.1823375417806,2,3,0,11780.59
60,312.80356019815315,1,1,0,15598.41
7,170.19554922255114,2,2,1,2170.35
5,150.12620180675157,3,1,1,455.25
45,306.8807756972975,3,1,0,11423.57
58,435.72590413361195,1,2,0,21421.22
31,474.43218988322985,1,2,0,11252.38
23,70.83478611380366,1,4,0,1970.47
42,94.31773404690553,2,1,0,3110.69
10,473.47340421587825,2,2,0,4669.57
32,373.5369096007004,4,2,0,10738.38
53,443.83703591829106,4,4,0,20535.8
30,117.26366438496471,4,3,1,3597.39
39,302.0412181325129,2,2,2,10796.45
31,356.54700532038737,2,2,1,9520.03
2,346.45370501454687,0,1,3,1198.02
12,215.9128116160151,2,4,0,3252.13
39,27.38954801182807,1,1,0,1243.6
66,299.8045072660463,2,3,2,17771.75
13,141.4887388062122,2,4,2,2795.92
46,236.12203814858736,1,1,2,9811.84
27,479.6388872402323,5,2,1,11432.55
17,211.53695246836867,1,2,3,4302.95
60,423.1047711989248,3,4,0,20982.24
64,110.49949075964054,2,2,0,6543.08
35,342.78103905201385,3,1,1,10856.04
70,488.9633381306929,4,4,1,29338.25
30,68.90868841900966,1,2,0,2428.27
71,23.993572269052166,0,2,0,1056.22
63,228.1197404636549,4,3,2,13131.96
28,64.46023186465625,3,3,0,1862.42
60,379.22448784459107,1,4,1,19993.93
37,458.9833586473083,2,3,2,15305.28
22,228.33006690020423,4,1,1,4731.12
68,144.18158823461167,3,2,3,8576.86
20,228.51359312317268,1,2,1,4804.39
68,367.2549525680005,0,2,1,21578.92
64,24.34599755857807,4,4,0,2061.42
17,302.93791495265464,1,4,0,5222.98
12,314.38000874594195,1,3,2,3914.6
22,326.09035851004904,3,2,1,6476.16
